,Summary Text,Polarity
72,Casey Anthony is back in a new three-part docuseries more than a decade after she was acquitted in the killing of her 2-year-old daughter. Here's what you need to know. https://t.co/Q2LqI7DLUB,0.21212121212121213
73,"More than six decades after a boy was found dead in a box in Philadelphia, investigators have identified the child with the help of DNA, police announced. https://t.co/M48ZQjmu2V",0.15
74,"“I go in the room and I’m like ‘Whoa,’” Ashton Kutcher said, fighting back tears. “I’m like…’Everything is not ok.’ And he flatlines in the room and I know that noise cause now I’ve been visiting occasionally.” https://t.co/Y0kgujSScm",-0.08333333333333333
75,"Apple said it plans to expand end-to-end encryption of iCloud data to include backups, photos, notes, chat histories and other services https://t.co/ukJRrsbJ3n",-0.125
76,"Indiana Attorney General Todd Rokita announced he has filed two separate lawsuits against TikTok, which accuse the company of making false claims about the safety of user data, and age-appropriate content https://t.co/MPWVSn0A5m",-0.17500000000000004
77,"A slew of problems has stalled the growth of Beyond Meat, once a darling of Wall Street whose top product became synonymous with plant-based burgers. https://t.co/hG2UYqxHAS",0.5
78,"Second gentleman Doug Emhoff – the first Jewish person in his position – convened a roundtable on antisemitism at the White House, where he warned of an “epidemic of hate facing our country.” https://t.co/9BpsBxpbXa",-0.11000000000000001
79,The Sundance Institute has revealed the slate of films that will screen during the 2023 Sundance Film Festival in January https://t.co/VzA5jO5T16,0.0
80,"Amazon faces a new lawsuit from the attorney general of Washington, DC, that alleges the e-commerce giant used customer tips meant for delivery drivers to reduce what it owed in driver wages https://t.co/cTGEeRWpk7",0.062121212121212126
81,"New York Mayor Eric Adams, a vocal rat opponent who has made fighting the rodents a priority for City Hall, was fined for a rat infestation at one of his Brooklyn properties https://t.co/UL1tLvYiX6",0.13636363636363635
82,"For the first time, Casey Anthony is opening up about her daughter’s death on camera in a documentary featured on the streaming service Peacock. @randikayeCNN has the story. Watch: https://t.co/9UcmQrl8u9",0.125
83,CNN bodycam footage analysis shows that Uvalde County Sheriff Ruben Nolasco had vital information about the Robb Elementary School shooter that he did not share during law enforcement's response to the shooting. CNN's @ShimonPro has the exclusive report: https://t.co/eWyiH4e4wr,0.2
84,The Weeknd has confirmed that he is a part of the “Avatar” sequel soundtrack https://t.co/9SyPtpRenc,0.4
85,"If your day needs a Rey of sunshine, here’s some good news for you: Lana Del Rey has announced a new album https://t.co/Om53VvWxPo",0.41818181818181815
86,Ridehailing giant Uber is now offering Las Vegas riders the option on its app to hail self-driving taxis developed by another company https://t.co/eXm0j5Kiwa,0.05
87,An intercepted phone call between a Russian soldier and his mother reveals conditions on the front lines of Russian President Vladimir Putin's war in Ukraine. CNN’s @ErinBurnett has the story: https://t.co/ObzXVvZiAM,0.0
88,"Donald Trump was hoping for a win on Tuesday amid the slow start to his latest presidential campaign. Instead, Trump’s first cycle as a so-called GOP kingmaker ended with one final blow to his scorecard. https://t.co/PwOMRFUJqV",0.25
89,A 24-hour strike at The New York Times will take effect Thursday at midnight after management and the union representing staffers failed to reach an agreement for a new contract after more than a year and a half of negotiating https://t.co/cg3bJe2eR9,0.02121212121212121
90,"The incessant lava shooting out of Hawaii’s Mauna Loa and Kilauea volcanoes has stirred memories of Kilauea’s devastating 2018 eruption. While it’s unclear how far the lava will travel from either volcano, experts say history and context can provide clues. https://t.co/ZbG656uEiH",-0.45
91,North Carolina Republican lawmakers want to limit the roles of the state court in reviewing elections. CNN’s Supreme Court analyst @JoanBiskupic explains to @wolfblitzer how the major case before the Supreme Court could reshape election laws throughout the country. https://t.co/iPvH3iuofZ,0.0625
92,"Paramedics in military fatigues deliver one soldier on a stretcher, and then another. The men were rushed from the frontline to a specialist trauma hospital in the city of Kramatorsk after being wounded in the bloody battle for the eastern town of Bakhmut. https://t.co/z4Ph2KfmGS",-0.45
93,"Atlanta Police have arrested two teenagers in connection to a shooting last month that left a 12-year-old and 15-year-old dead, Deputy Chief Charles Hampton said in a news conference https://t.co/YspMDlq9px",-0.06666666666666667
94,A core of ice age sediment from northern Greenland has yielded the world’s oldest sequences of DNA https://t.co/EarNFjQqkr,0.0
95,"The family of a Black man fatally shot in the head by a Michigan police officer has sued the ex-officer and the city who employed him, alleging in part that the slain man’s civil rights were violated through excessive force https://t.co/sXNORMZnzN",-0.20833333333333331
96,A grand jury has indicted two men – one of whom is Jewish and a descendant of a Holocaust survivor – in connection with an online threat last month to attack a synagogue in New York City https://t.co/bBrIu5yZmO,0.1590909090909091
97,"When debut author Chelsea Banning shared her disappointment over a sparsely attended book signing, bestselling authors including Stephen King, Jodi Picoult and Margaret Atwood came forward to console her with their own tales of woe https://t.co/19Zb0FhkCI",0.0
98,"During his victory speech to a fiery crowd in Atlanta on Tuesday night, Sen. Raphael Warnock honored the Black and White unsung heroes of the civil rights movement who died fighting for equal voting rights, making wins like his possible https://t.co/h5cvE1C20N",0.026666666666666665
99,"Investigators are zeroing in on two threads of possible motives centered around extremist behavior for the weekend assault on two North Carolina electric substations, according to law-enforcement sources https://t.co/snkJ8JdRLk",0.0
