,Tweet Text,Likes,Time
78,"British Medical Association's deputy chair Dr Emma Runswick says strikes are needed as staff aren't happy with the ""squeeze on our living standards"" or the ""the impact that's having on the care we're able to provide"".

https://t.co/WUnquWvHqf

📺 Sky 501 and YouTube https://t.co/2K5pEM7aBG",15,2022-12-01 09:25:10+00:00
79,"""When teachers go on strike, it is a cry for help.""

Dr Mary Bousted of the National Education Union tells @KayBurley ""teachers don't want to walk away from the classroom"" but will when there is 'nowhere else to go'.

Read more: https://t.co/th530c52du

📺 Sky 501 and YouTube https://t.co/JEYD8tVpIr",60,2022-12-01 09:20:05+00:00
80,The Prince and Princess of Wales' first overseas trip since the Queen's death has been overshadowed by controversy back home https://t.co/7BEJUJQzew,44,2022-12-01 09:18:10+00:00
81,"'The rail service isn't good enough, so why should we give you more money?'

RMT's Eddie Dempsey says they ""keep the trains moving"" and that it's the govt and railway management that have ""made a dog's breakfast"" of running the service.

https://t.co/WUnquWvHqf

📺 Sky 501 https://t.co/8tMSb8EUbc",43,2022-12-01 09:17:53+00:00
82,"Q: Why do we need the Royal Mail?

Communication Workers Union general secretary Dave Ward outlines the importance of the postal service and why workers have voted for strike action.

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/gpig048p8i",34,2022-12-01 09:14:50+00:00
83,"'It's going to end with pay settlements and job protection.'

Union leaders tell @KayBurley how they hope the current situation with workers' strikes will end.

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/Qhl1hA1HcG",21,2022-12-01 09:08:31+00:00
84,"Watch live: As the UK faces a wave of strikes, @KayBurley puts your questions to...

▪️ Dave Ward, Communication Workers Union
▪️ Dr Emma Runswick, British Medical Association
▪️ Dr Mary Bousted, National Education Union
▪️ Eddie Dempsey, RMT union https://t.co/wm9xAkiIsl",13,2022-12-01 09:00:01+00:00
85,"""I'm worried about it as a politician, I'm worried about it as a citizen.""

@KayBurley asks Conservative MP Steve Brine about the possibility of coordinated strikes.

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/Uf5lCD8Rfj",13,2022-12-01 08:47:34+00:00
86,".@KayBurley will be putting your questions to...

▪️ Dave Ward, Communication Workers Union
▪️ Dr Emma Runswick, British Medical Association
▪️ Dr Mary Bousted, National Education Union
▪️ Eddie Dempsey, National Union of Rail, Maritime and Transport Workers

🕘 9am
📺 Sky 501",11,2022-12-01 08:30:00+00:00
87,".@KayBurley: Do you support coordinated strike action?

@ThangamMP says Labour ""supports getting these disputes sorting out"".

Read more: https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/hqUa1TdcLF",26,2022-12-01 08:25:38+00:00
88,Lifting of lockdowns in major Chinese cities signals shift in COVID stance after wave of protests https://t.co/kx6EwmPkog,41,2022-12-01 08:21:19+00:00
89,".@KayBurley: How can you guarantee the safety of patients if there is coordinated strike action in the NHS?

GMB national secretary Andy Prendergast replies: ""We can't guarantee that safety at the moment.""

https://t.co/th530c52du

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/7fu1ZiJALs",24,2022-12-01 08:18:47+00:00
90,".@KayBurley presses GMB national secretary Andy Prendergast on the number of members who support strike action.

Read more: https://t.co/KZp58hKuVB

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/Y0x41adpLg",10,2022-12-01 08:02:47+00:00
91,"""Nobody wants to see strikes"" says Liberal Democrats leader Ed Davey MP, following the announcement that 10,000 ambulance workers have voted to go on strike - adding the govt ""could stop these strikes if they chose"".
 
https://t.co/WUnquWvHqf

📺Sky 501 and YouTube https://t.co/c4EKnRmAZ9",25,2022-12-01 07:56:36+00:00
92,"'We have a slightly ridiculous position where we have to rely on postal votes', says GMB national secretary Andy Prendergast.

@KayBurley: ""That's because postal workers are on strike.""

https://t.co/PAiZ4D1jU3

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/xmdlrlwOLF",27,2022-12-01 07:56:29+00:00
93,".@KayBurley will be talking to Labour's @ThangamMP as workers from seven different industries have voted to strike, or are balloting to strike, this winter.

🕗 8.05
👉 #KayBurley
📺 Sky 501, Virgin 602, Freeview 233 and YouTube
📱 Watch live: https://t.co/5xGmiZZPBm",11,2022-12-01 07:55:00+00:00
94,"Jake Flint: US country star, 37, dies just hours after getting married https://t.co/QdNsoL4ucF",44,2022-12-01 07:54:17+00:00
95,House price falls accelerate as impact from September mini-budget dominates https://t.co/EJG5yrM2bu,32,2022-12-01 07:48:16+00:00
96,"'At the moment, we're trying to deal with the matter in hand.'

GMB union national secretary, Andy Prendergast, tells @KayBurley that a general strike ""is not on the agenda at the moment"".

Read more: https://t.co/wwetUvKWPt

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/7IeyDSU4wP",16,2022-12-01 07:48:06+00:00
97,"NHS England's Dr Vin Diwakar warns flu numbers are expected to rise ""significantly"" and advises if people are eligible they ""should go and get their vaccine"" to help reduce the demand on services.

https://t.co/WUnquWvHqf

📺 Sky 501, Virgin 602, Freeview 233 and YouTube https://t.co/NyIBhGutwq",14,2022-12-01 07:37:07+00:00
98,"After days of widespread public protests, China has softened its stance on the severity of COVID restrictions and has begun to lift lockdowns in some areas.

@HelenAnnSmith0 explains why it is too soon for a larger reopening.

https://t.co/PAiZ4D1jU3

📺 Sky 501 and YouTube https://t.co/agcYBMaQn1",29,2022-12-01 07:32:05+00:00
99,"""This is one of the busiest winters I've ever known.""

NHS England's Dr Vin Diwakar says pressures ""are enormous"" as he explains the new 'winter war rooms' being launched to help the service manage more effectively. 

https://t.co/WUnquWvHqf

📺 Sky 501 and Youtube https://t.co/BddEaQ4aii",21,2022-12-01 07:27:52+00:00
